Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	2705288	2706718	+	GBJ002_02804	tilS	tRNA(Ile)-lysidine synthase	COG:COG0037, COG:J, EC:6.3.4.19, GO:0005524, GO:0005737, GO:0006400, GO:0032267, KEGG:K04075, RefSeq:WP_000655456.1, SO:0001217, UniParc:UPI00016B78B5, UniRef:UniRef100_A0A9X6ZSU0, UniRef:UniRef50_Q81VX7, UniRef:UniRef90_Q81VX7
chromosome	cds	2706715	2707257	+	GBJ002_02805	hpt	hypoxanthine phosphoribosyltransferase	COG:COG0634, COG:F, EC:2.4.2.8, GO:0006166, KEGG:K00760, RefSeq:WP_000981846.1, SO:0001217, UniParc:UPI00005B44D0, UniRef:UniRef100_A0A150DDM7, UniRef:UniRef50_Q839B2, UniRef:UniRef90_B9ZW32
chromosome	cds	2707343	2709244	+	GBJ002_02806	ftsH	ATP-dependent zinc metalloprotease FtsH	BlastRules:WP_001079659, BlastRules:WP_002656600, BlastRules:WP_003243881, BlastRules:WP_012957092, COG:COG0465, COG:O, EC:3.4.24.-, GO:0004222, GO:0006508, GO:0016020, GO:0016887, GO:0051301, RefSeq:WP_001079668.1, SO:0001217, UniParc:UPI00016B78B4, UniRef:UniRef100_A0A9X6SGJ5, UniRef:UniRef50_P37476, UniRef:UniRef90_A0A2B0WY97
chromosome	cds	2709489	2710277	+	GBJ002_02807	coaX	type III pantothenate kinase	COG:COG1521, COG:H, EC:2.7.1.33, GO:0004594, GO:0005524, GO:0005737, GO:0015937, GO:0046872, KEGG:K03525, RefSeq:WP_000578366.1, SO:0001217, UniParc:UPI00005B4A75, UniRef:UniRef100_B7ISX6, UniRef:UniRef50_P37564, UniRef:UniRef90_Q81VX4
chromosome	cds	2710284	2711159	+	GBJ002_02808	hslO	redox-regulated molecular chaperone HslO	BlastRules:WP_000656366, BlastRules:WP_003226695, COG:COG1281, COG:O, GO:0005737, GO:0006457, GO:0042026, GO:0044183, GO:0051082, KEGG:K04083, RefSeq:WP_000656371.1, SO:0001217, UniParc:UPI0001A1F0EB, UniRef:UniRef100_A0AB35P6N5, UniRef:UniRef50_Q9F984, UniRef:UniRef90_Q81VX3
chromosome	cds	2711264	2712187	+	GBJ002_02809	cysK	cysteine synthase A	COG:COG0031, COG:E, EC:2.5.1.47, GO:0004124, GO:0006535, RefSeq:WP_001261717.1, SO:0001217, UniParc:UPI00027B3972, UniRef:UniRef100_A0AB35P975, UniRef:UniRef50_A0A174C3B8, UniRef:UniRef90_Q81J79
chromosome	cds	2712410	2713807	+	GBJ002_02810	trpE	anthranilate synthase component I	COG:COG0147, COG:EH, EC:2.6.1.123, EC:4.1.3.27, GO:0000162, GO:0004049, KEGG:K25578, RefSeq:WP_001189711.1, SO:0001217, UniParc:UPI00016B7678, UniRef:UniRef100_A0A9X6TKH4, UniRef:UniRef50_A0A090ZC86, UniRef:UniRef90_A0A090ZC86
chromosome	cds	2713813	2714400	+	GBJ002_02811	pabA	aminodeoxychorismate/anthranilate synthase component II	COG:COG0512, COG:EH, EC:2.6.1.123, KEGG:K25575, RefSeq:WP_000602284.1, SO:0001217, UniParc:UPI00016B7677, UniRef:UniRef100_A0A9X6TKH3, UniRef:UniRef50_P00903, UniRef:UniRef90_A0A0A0WVJ9
chromosome	cds	2714394	2715266	+	GBJ002_02812	pabC	aminodeoxychorismate lyase	COG:COG0115, COG:EH, EC:4.1.3.38, GO:0003824, RefSeq:WP_000909860.1, SO:0001217, UniParc:UPI00005B4945, UniRef:UniRef100_A0A9Q1VXV1, UniRef:UniRef50_A0A940DXE5, UniRef:UniRef90_Q81J76
chromosome	cds	2715241	2716101	+	GBJ002_02813	folP	dihydropteroate synthase	COG:COG0294, COG:H, EC:2.5.1.15, GO:0004156, GO:0009396, KEGG:K00796, RefSeq:WP_002084136.1, SO:0001217, UniParc:UPI00027927E4, UniRef:UniRef100_A0A9W7PSY2, UniRef:UniRef50_A0A2V5JV03, UniRef:UniRef90_Q81VW8
chromosome	cds	2716102	2716464	+	GBJ002_02814	folB	dihydroneopterin aldolase	COG:COG1539, COG:H, EC:4.1.2.25, GO:0004150, GO:0006760, RefSeq:WP_000358066.1, SO:0001217, UniParc:UPI00005B51EB, UniRef:UniRef100_A0A9Q7J6P6, UniRef:UniRef50_P28823, UniRef:UniRef90_A0A090YYN1
chromosome	cds	2716461	2716976	+	GBJ002_02815	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	COG:COG0801, COG:H, EC:2.7.6.3, GO:0003848, GO:0009396, RefSeq:WP_001059450.1, SO:0001217, UniParc:UPI00005B3F21, UniRef:UniRef100_A0A9Q7J8J5, UniRef:UniRef50_P29252, UniRef:UniRef90_A0A0G8F5F9
chromosome	cds	2716928	2717131	+	GBJ002_02816	hipB	Helix-turn-helix family protein	COG:COG1396, COG:K, RefSeq:WP_000387030.1, SO:0001217, UniParc:UPI00016B7674, UniRef:UniRef100_A0A150DDW2, UniRef:UniRef50_O31417, UniRef:UniRef90_A0A090YYG4
chromosome	cds	2717155	2718153	+	GBJ002_02817	dusB	tRNA dihydrouridine synthase DusB	COG:COG0042, COG:J, EC:1.-.-.-, EC:1.3.1.-, GO:0008033, GO:0017150, GO:0050660, KEGG:K05540, RefSeq:WP_000912246.1, SO:0001217, UniParc:UPI0001A1F0ED, UniRef:UniRef100_A0AB35P8D6, UniRef:UniRef50_P37567, UniRef:UniRef90_A0A1J9XZJ4
chromosome	cds	2718313	2719812	+	GBJ002_02818	lysS	lysine--tRNA ligase	COG:COG1190, COG:J, EC:6.1.1.6, GO:0000049, GO:0000287, GO:0004824, GO:0005524, GO:0005737, GO:0005829, GO:0006430, GO:0016740, KEGG:K04567, RefSeq:WP_000369685.1, SO:0001217, UniParc:UPI00016B7672, UniRef:UniRef100_B7ISY7, UniRef:UniRef50_P37477, UniRef:UniRef90_Q81J70
chromosome	rRNA	2720186	2721737	+	GBJ002_02819	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
chromosome	rRNA	2721884	2724805	+	GBJ002_02820	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
chromosome	rRNA	2724855	2724970	+	GBJ002_02821	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
chromosome	cds	2725178	2725639	+	GBJ002_02822	ctsR	transcriptional regulator CtsR	BlastRules:WP_001244563, BlastRules:WP_003225724, BlastRules:WP_033017268, COG:COG4463, COG:K, KEGG:K03708, RefSeq:WP_001244560.1, SO:0001217, UniParc:UPI00016B81EC, UniRef:UniRef100_A0A1V6L8Z0, UniRef:UniRef50_A0A2G5XLL3, UniRef:UniRef90_A0A090YTL7
chromosome	cds	2725810	2726358	+	GBJ002_02823	mcsA	UVR domain-containing protein	COG:COG3880, COG:O, RefSeq:WP_000128374.1, SO:0001217, UniParc:UPI0001A1F0EE, UniRef:UniRef100_A0AB35PDY7, UniRef:UniRef50_A0A6H3A8B3, UniRef:UniRef90_A0A6H3A8B3
chromosome	cds	2726363	2727427	+	GBJ002_02824	mcsB	protein arginine kinase	COG:COG3869, COG:O, EC:2.7.14.1, GO:0004111, GO:0004672, GO:0005524, GO:0005615, GO:0016301, GO:0046314, RefSeq:WP_000050840.1, SO:0001217, UniParc:UPI00027B3973, UniRef:UniRef100_A0AB35PH04, UniRef:UniRef50_P37570, UniRef:UniRef90_Q81J67
chromosome	cds	2727450	2729885	+	GBJ002_02825	clpC	ATP-dependent protease ATP-binding subunit ClpC	BlastRules:WP_003235011, COG:COG0542, COG:O, RefSeq:WP_000971172.1, SO:0001217, UniParc:UPI00005B4408, UniRef:UniRef100_A0AB35PBX6, UniRef:UniRef50_A0A9J6RE88, UniRef:UniRef90_A0A940INK9
chromosome	cds	2729981	2731357	+	GBJ002_02826	radA	DNA repair protein RadA	COG:COG1066, COG:L, GO:0003684, GO:0005524, GO:0006281, RefSeq:WP_001085199.1, SO:0001217, UniParc:UPI00005B3E43, UniRef:UniRef100_A0A1V6L8I2, UniRef:UniRef50_P37572, UniRef:UniRef90_A7GJZ4
chromosome	cds	2731361	2732434	+	GBJ002_02827	disA	DNA integrity scanning diadenylate cyclase DisA	COG:COG1623, COG:T, EC:2.7.7.85, GO:0003677, GO:0004016, GO:0005524, GO:0006281, GO:0106408, KEGG:K07067, RefSeq:WP_000392164.1, SO:0001217, UniParc:UPI00005B456F, UniRef:UniRef100_B7ISZ3, UniRef:UniRef50_P37573, UniRef:UniRef90_Q81VV7
chromosome	cds	2732597	2733700	+	GBJ002_02828		PIN/TRAM domain-containing protein	SO:0001217, UniRef:UniRef50_Q48762, UniRef:UniRef90_A0A9X0W3F2
chromosome	cds	2733717	2734397	+	GBJ002_02829	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	BlastRules:WP_000288292, COG:COG1211, COG:I, EC:2.7.7.60, GO:0019288, GO:0050518, RefSeq:WP_000288312.1, SO:0001217, UniParc:UPI00005B3F98, UniRef:UniRef100_A0A9Q7IZ17, UniRef:UniRef50_Q81VV5, UniRef:UniRef90_Q81VV5
chromosome	cds	2734514	2734990	+	GBJ002_02830	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	BlastRules:WP_000488386, COG:COG0245, COG:I, EC:4.6.1.12, GO:0008685, GO:0016114, GO:0019288, GO:0046872, RefSeq:WP_000488386.1, SO:0001217, UniParc:UPI00001664E2, UniRef:UniRef100_Q81J62, UniRef:UniRef50_Q3J2K8, UniRef:UniRef90_Q81J62
chromosome	cds	2735080	2736537	+	GBJ002_02831	gltX	glutamate--tRNA ligase	BlastRules:WP_000415154, COG:COG0008, COG:J, EC:6.1.1.17, GO:0000049, GO:0000166, GO:0004818, GO:0005524, GO:0005829, GO:0006424, GO:0008270, RefSeq:WP_000415149.1, SO:0001217, UniParc:UPI00016B81E8, UniRef:UniRef100_B7ISZ7, UniRef:UniRef50_Q97NG1, UniRef:UniRef90_Q81J61
chromosome	ncRNA-region	2736585	2736831	+			T-box leader	RFAM:RF00230, SO:0000140
chromosome	cds	2736969	2737634	+	GBJ002_02832	cysE	serine O-acetyltransferase	COG:COG1045, COG:E, EC:2.3.1.30, GO:0005737, GO:0006535, GO:0009001, RefSeq:WP_000476495.1, SO:0001217, UniParc:UPI00005B456C, UniRef:UniRef100_A0A150DDW3, UniRef:UniRef50_A0A383RHX1, UniRef:UniRef90_A0A1S9WT70
chromosome	cds	2737615	2739012	+	GBJ002_02833	cysS	cysteine--tRNA ligase	COG:COG0215, COG:J, EC:6.1.1.16, GO:0004817, GO:0005524, GO:0005737, GO:0005829, GO:0006423, GO:0008270, KEGG:K01883, RefSeq:WP_000152279.1, SO:0001217, UniParc:UPI00027B3974, UniRef:UniRef100_A0A9Q7J236, UniRef:UniRef50_Q81J59, UniRef:UniRef90_Q81J59
chromosome	cds	2739015	2739422	+	GBJ002_02834	mrnC	Mini-ribonuclease 3	COG:COG1939, COG:J, EC:3.1.26.-, GO:0004525, GO:0005737, GO:0006364, GO:0019843, RefSeq:WP_000564265.1, SO:0001217, UniParc:UPI000188BE33, UniRef:UniRef100_A0A9Q7IXJ4, UniRef:UniRef50_Q81J58, UniRef:UniRef90_Q81J58
chromosome	cds	2739419	2740162	+	GBJ002_02835	rlmB	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	COG:COG0566, COG:J, GO:0006396, GO:0008173, RefSeq:WP_000093762.1, SO:0001217, UniParc:UPI000188BE34, UniRef:UniRef100_A0A164P8W9, UniRef:UniRef50_A0A7V6UWL8, UniRef:UniRef90_A0A9W3X6G5
chromosome	cds	2740166	2740678	+	GBJ002_02836	rae1	RNA-binding protein	COG:COG3688, COG:J, KEGG:K06962, RefSeq:WP_000997887.1, SO:0001217, UniParc:UPI00016B8BCE, UniRef:UniRef100_A0A9X6U9I9, UniRef:UniRef50_D5DVR6, UniRef:UniRef90_A0A073K823
chromosome	cds	2740746	2741405	+	GBJ002_02837	rpoE	RNA polymerase factor sigma-70	COG:COG1595, COG:K, EC:2.7.7.6, RefSeq:WP_000387198.1, SO:0001217, UniParc:UPI0000240277, UniRef:UniRef100_A0A2A7D107, UniRef:UniRef50_F5RLE5, UniRef:UniRef90_A0A2A7D107
chromosome	cds	2741721	2741900	+	GBJ002_02838	secE	preprotein translocase subunit SecE	COG:COG0690, COG:U, GO:0005886, GO:0009306, GO:0015450, GO:0043952, RefSeq:WP_001241323.1, SO:0001217, UniParc:UPI000018DC96, UniRef:UniRef100_Q81J55, UniRef:UniRef50_Q81J55, UniRef:UniRef90_Q81J55
chromosome	cds	2742032	2742565	+	GBJ002_02839	nusG	transcription termination/antitermination protein NusG	COG:COG0250, COG:K, GO:0032784, RefSeq:WP_000415794.1, SO:0001217, UniParc:UPI00001664EB, UniRef:UniRef100_Q81J54, UniRef:UniRef50_Q2G0P2, UniRef:UniRef90_Q81J54
chromosome	cds	2742733	2743158	+	GBJ002_02840	rplK	50S ribosomal protein L11	COG:COG0080, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0022625, GO:0070180, KEGG:K02867, RefSeq:WP_001085872.1, SO:0001217, UniParc:UPI0000191130, UniRef:UniRef100_Q81VU3, UniRef:UniRef50_P56210, UniRef:UniRef90_P56210
chromosome	cds	2743336	2744028	+	GBJ002_02841	rplA	50S ribosomal protein L1	BlastRules:WP_002020168, COG:COG0081, COG:J, GO:0000049, GO:0003723, GO:0003735, GO:0006412, GO:0006417, GO:0015934, GO:0019843, KEGG:K02863, RefSeq:WP_002084079.1, SO:0001217, UniParc:UPI000188BE35, UniRef:UniRef100_B7IT07, UniRef:UniRef50_Q8F0R9, UniRef:UniRef90_Q81VU2
chromosome	ncRNA-region	2744078	2744222	+			Ribosomal protein L10 leader	RFAM:RF00557, SO:0000140
chromosome	cds	2744262	2744762	+	GBJ002_02842	rplJ	50S ribosomal protein L10	BlastRules:WP_000048716, COG:COG0244, COG:J, GO:0003735, GO:0006412, GO:0015934, GO:0070180, KEGG:K02864, RefSeq:WP_000048717.1, SO:0001217, UniParc:UPI00005B4EB7, UniRef:UniRef100_B7IT08, UniRef:UniRef50_P42923, UniRef:UniRef90_P83063
chromosome	cds	2744830	2745189	+	GBJ002_02843	rplL	50S ribosomal protein L7/L12	BlastRules:WP_000159736, COG:COG0222, COG:J, GO:0003729, GO:0003735, GO:0005840, GO:0006412, GO:0022625, RefSeq:WP_000159736.1, SO:0001217, UniParc:UPI000018DC9A, UniRef:UniRef100_Q81J50, UniRef:UniRef50_Q8ETZ0, UniRef:UniRef90_Q81J50
chromosome	cds	2745266	2745865	+	GBJ002_02844	rsmC	16S rRNA methyltransferase	COG:COG2813, COG:J, RefSeq:WP_000763258.1, SO:0001217, UniParc:UPI0001A1F27D, UniRef:UniRef100_A0AB35PEN3, UniRef:UniRef50_A0A401I6Z2, UniRef:UniRef90_A0A9X5VGT4
chromosome	cds	2746157	2749690	+	GBJ002_02845	rpoB	DNA-directed RNA polymerase subunit beta	COG:COG0085, COG:K, EC:2.7.7.6, GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0001057, GO:0001058, GO:0001066, GO:0003677, GO:0003899, GO:0006351, GO:0032549, KEGG:K03043, RefSeq:WP_000147553.1, SO:0001217, UniParc:UPI000018DC9C, UniRef:UniRef100_Q81J48, UniRef:UniRef50_A0R8H2, UniRef:UniRef90_A0R8H2
chromosome	cds	2749728	2753339	+	GBJ002_02846	rpoC	DNA-directed RNA polymerase subunit beta'	EC:2.7.7.6, GO:0000287, GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0001057, GO:0001058, GO:0001066, GO:0003677, GO:0003899, GO:0006351, GO:0008270, KEGG:K03046, RefSeq:WP_000567944.1, SO:0001217, UniParc:UPI00005B51F4, UniRef:UniRef100_A0A9Q7J8E5, UniRef:UniRef50_P37871, UniRef:UniRef90_A9VP70
chromosome	cds	2753453	2753701	+	GBJ002_02847	rpl7Ae	Ribosome-associated protein L7Ae-like protein	COG:COG1358, COG:J, KEGG:K07590, RefSeq:WP_000121833.1, SO:0001217, UniParc:UPI00006B3ABF, UniRef:UniRef100_A0A9Q1W0N0, UniRef:UniRef50_A0A4R1QD66, UniRef:UniRef90_A0A090YZ75
chromosome	cds	2753816	2754238	+	GBJ002_02848	rpsL	30S ribosomal protein S12	BlastRules:WP_001142340, COG:COG0048, COG:J, GO:0000049, GO:0003735, GO:0006412, GO:0015935, GO:0019843, RefSeq:WP_001142341.1, SO:0001217, UniParc:UPI000018DC9F, UniRef:UniRef100_Q81J45, UniRef:UniRef50_P0A7S3, UniRef:UniRef90_Q81J45
chromosome	cds	2754268	2754738	+	GBJ002_02849	rpsG	30S ribosomal protein S7	BlastRules:WP_001137493, COG:COG0049, COG:J, GO:0000049, GO:0003735, GO:0006412, GO:0015935, GO:0019843, KEGG:K02992, RefSeq:WP_001137492.1, SO:0001217, UniParc:UPI000188BDC3, UniRef:UniRef100_B7IT15, UniRef:UniRef50_P02359, UniRef:UniRef90_Q81J44
chromosome	cds	2754944	2757022	+	GBJ002_02850	fusA	elongation factor G	COG:COG0480, COG:J, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006414, GO:0032790, KEGG:K02355, RefSeq:WP_000196384.1, SO:0001217, UniParc:UPI000188BDC4, UniRef:UniRef100_B7IT16, UniRef:UniRef50_P80868, UniRef:UniRef90_Q81VT3
chromosome	cds	2757140	2758327	+	GBJ002_02851	tuf	elongation factor Tu	COG:COG0050, COG:J, GO:0003746, GO:0003924, GO:0005525, GO:0005829, GO:0006414, RefSeq:WP_001029617.1, SO:0001217, UniParc:UPI000188BDC5, UniRef:UniRef100_B7IT17, UniRef:UniRef50_Q74JU6, UniRef:UniRef90_Q814C4
chromosome	cds	2758728	2759036	+	GBJ002_02852	rpsJ	30S ribosomal protein S10	BlastRules:WP_001040594, COG:COG0051, COG:J, GO:0000049, GO:0003723, GO:0003735, GO:0005840, GO:0006412, GO:1990904, RefSeq:WP_001040595.1, SO:0001217, UniParc:UPI0001629461, UniRef:UniRef100_B7IT18, UniRef:UniRef50_P0A7R5, UniRef:UniRef90_Q81VT1
chromosome	cds	2759071	2759703	+	GBJ002_02853	rplC	50S ribosomal protein L3	BlastRules:WP_000160207, COG:COG0087, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, RefSeq:WP_000160209.1, SO:0001217, UniParc:UPI0001629462, UniRef:UniRef100_B7IT19, UniRef:UniRef50_Q8XHS3, UniRef:UniRef90_Q81VT0
chromosome	cds	2759729	2760352	+	GBJ002_02854	rplD	50S ribosomal protein L4	BlastRules:WP_001127258, COG:COG0088, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, GO:1990904, RefSeq:WP_001127258.1, SO:0001217, UniParc:UPI000018DCA5, UniRef:UniRef100_Q81J41, UniRef:UniRef50_P42921, UniRef:UniRef90_Q81J41
chromosome	cds	2760352	2760642	+	GBJ002_02855	rplW	50S ribosomal protein L23	BlastRules:WP_001205558, COG:COG0089, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, RefSeq:WP_001205558.1, SO:0001217, UniParc:UPI000018DCA6, UniRef:UniRef100_Q81J40, UniRef:UniRef50_A7GK22, UniRef:UniRef90_A7GK22
chromosome	cds	2760671	2761501	+	GBJ002_02856	rplB	50S ribosomal protein L2	BlastRules:WP_000511580, COG:COG0090, COG:J, GO:0002181, GO:0003723, GO:0003735, GO:0006412, GO:0015934, GO:0016740, GO:0019843, KEGG:K02886, RefSeq:WP_000511583.1, SO:0001217, UniParc:UPI000018DCA7, UniRef:UniRef100_Q81J39, UniRef:UniRef50_Q85FI1, UniRef:UniRef90_Q81J39
chromosome	cds	2761562	2761840	+	GBJ002_02857	rpsS	30S ribosomal protein S19	COG:COG0185, COG:J, GO:0000028, GO:0003735, GO:0006412, GO:0015935, GO:0019843, GO:0022627, RefSeq:WP_000124454.1, SO:0001217, UniParc:UPI000018DCA8, UniRef:UniRef100_Q81J38, UniRef:UniRef50_P21476, UniRef:UniRef90_Q81VS6
chromosome	cds	2761858	2762199	+	GBJ002_02858	rplV	50S ribosomal protein L22	COG:COG0091, COG:J, GO:0003735, GO:0006412, GO:0015934, GO:0019843, GO:0022625, KEGG:K02890, RefSeq:WP_001148024.1, SO:0001217, UniParc:UPI000024027F, UniRef:UniRef100_Q81J37, UniRef:UniRef50_Q81J37, UniRef:UniRef90_Q81J37
chromosome	cds	2762203	2762862	+	GBJ002_02859	rpsC	30S ribosomal protein S3	BlastRules:WP_000529956, COG:COG0092, COG:J, GO:0003729, GO:0003735, GO:0006412, GO:0019843, GO:0022627, KEGG:K02982, RefSeq:WP_000529956.1, SO:0001217, UniParc:UPI00001664FC, UniRef:UniRef100_Q81J36, UniRef:UniRef50_P23309, UniRef:UniRef90_Q81J36
chromosome	cds	2762864	2763298	+	GBJ002_02860	rplP	50S ribosomal protein L16	BlastRules:WP_000928969, COG:COG0197, COG:J, GO:0000049, GO:0003735, GO:0006412, GO:0019843, GO:0022625, KEGG:K02878, RefSeq:WP_000928969.1, SO:0001217, UniParc:UPI000018DCAA, UniRef:UniRef100_Q81J35, UniRef:UniRef50_P16633, UniRef:UniRef90_P14577
chromosome	cds	2763288	2763488	+	GBJ002_02861	rpmC	50S ribosomal protein L29	BlastRules:WP_000855718, COG:COG0255, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0022625, RefSeq:WP_000855718.1, SO:0001217, UniParc:UPI000019113C, UniRef:UniRef100_Q81VS2, UniRef:UniRef50_Q81VS2, UniRef:UniRef90_Q81VS2
chromosome	cds	2763509	2763772	+	GBJ002_02862	rpsQ	30S ribosomal protein S17	BlastRules:WP_000004106, COG:COG0186, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022627, RefSeq:WP_000004106.1, SO:0001217, UniParc:UPI000019113D, UniRef:UniRef100_Q81VS1, UniRef:UniRef50_P23828, UniRef:UniRef90_P23828
chromosome	cds	2763816	2764184	+	GBJ002_02863	rplN	50S ribosomal protein L14	BlastRules:WP_000615912, COG:COG0093, COG:J, GO:0003735, GO:0006412, GO:0015934, GO:0022625, GO:0070180, KEGG:K02874, RefSeq:WP_000615912.1, SO:0001217, UniParc:UPI000018DCAD, UniRef:UniRef100_Q81J32, UniRef:UniRef50_Q5SHP8, UniRef:UniRef90_Q81J32
chromosome	cds	2764223	2764534	+	GBJ002_02864	rplX	50S ribosomal protein L24	BlastRules:WP_000558200, COG:COG0198, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, RefSeq:WP_000558200.1, SO:0001217, UniParc:UPI00001664FF, UniRef:UniRef100_Q81J31, UniRef:UniRef50_A7GK31, UniRef:UniRef90_A7GK31
chromosome	cds	2764561	2765100	+	GBJ002_02865	rplE	50S ribosomal protein L5	BlastRules:WP_001080834, COG:COG0094, COG:J, GO:0000049, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, KEGG:K02931, RefSeq:WP_001080829.1, SO:0001217, UniParc:UPI000188BDC7, UniRef:UniRef100_B7IT31, UniRef:UniRef50_Q81VR8, UniRef:UniRef90_Q81VR8
chromosome	cds	2765134	2765319	+	GBJ002_02866	rpsN	30S ribosomal protein S14	BlastRules:WP_003156488, COG:COG0199, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0008270, GO:0015935, GO:0019843, KEGG:K02954, RefSeq:WP_001085700.1, SO:0001217, UniParc:UPI0000166501, UniRef:UniRef100_Q81J29, UniRef:UniRef50_P12878, UniRef:UniRef90_P66401
chromosome	cds	2765349	2765747	+	GBJ002_02867	rpsH	30S ribosomal protein S8	BlastRules:WP_000245511, COG:COG0096, COG:J, GO:0003735, GO:0005737, GO:0005840, GO:0006412, GO:0019843, GO:1990904, RefSeq:WP_000245511.1, SO:0001217, UniParc:UPI0000166502, UniRef:UniRef100_Q81J28, UniRef:UniRef50_P12879, UniRef:UniRef90_A7GK34
chromosome	cds	2765780	2766319	+	GBJ002_02868	rplF	50S ribosomal protein L6	BlastRules:WP_000086558, COG:COG0097, COG:J, GO:0002181, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, RefSeq:WP_000086551.1, SO:0001217, UniParc:UPI000188BDC8, UniRef:UniRef100_A0A150DEB5, UniRef:UniRef50_Q6A6P1, UniRef:UniRef90_Q81J27
chromosome	cds	2766353	2766715	+	GBJ002_02869	rplR	50S ribosomal protein L18	BlastRules:WP_000628816, COG:COG0256, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0008097, GO:0022625, RefSeq:WP_000628818.1, SO:0001217, UniParc:UPI000188BDC9, UniRef:UniRef100_B7IT35, UniRef:UniRef50_P09415, UniRef:UniRef90_A9VP93
chromosome	cds	2766737	2767237	+	GBJ002_02870	rpsE	30S ribosomal protein S5	BlastRules:WP_011109776, COG:COG0098, COG:J, GO:0003735, GO:0006412, GO:0015935, GO:0019843, GO:0022627, RefSeq:WP_000554646.1, SO:0001217, UniParc:UPI0000166505, UniRef:UniRef100_Q81J25, UniRef:UniRef50_Q927M4, UniRef:UniRef90_A7GK37
chromosome	cds	2767251	2767433	+	GBJ002_02871	rpmD	50S ribosomal protein L30	BlastRules:WP_001085234, COG:COG1841, COG:J, GO:0003735, GO:0006412, GO:0015934, GO:0022625, RefSeq:WP_001085233.1, SO:0001217, UniParc:UPI000188BDCA, UniRef:UniRef100_B7IT37, UniRef:UniRef50_B1HMW2, UniRef:UniRef90_Q81J24
chromosome	cds	2767467	2767907	+	GBJ002_02872	rplO	50S ribosomal protein L15	BlastRules:WP_000766080, COG:COG0200, COG:J, GO:0003735, GO:0006412, GO:0015934, GO:0019843, GO:0022625, KEGG:K02876, RefSeq:WP_000766083.1, SO:0001217, UniParc:UPI000188BDCB, UniRef:UniRef100_B7IT38, UniRef:UniRef50_Q5M2D2, UniRef:UniRef90_Q81VR1
chromosome	cds	2767907	2769208	+	GBJ002_02873	secY	preprotein translocase subunit SecY	COG:COG0201, COG:U, GO:0015031, GO:0016020, GO:0043952, RefSeq:WP_000490118.1, SO:0001217, UniParc:UPI000188BDCF, UniRef:UniRef100_A0A150DDX8, UniRef:UniRef50_F8ILF2, UniRef:UniRef90_B7JKD9
chromosome	cds	2769263	2769913	+	GBJ002_02874	adk	adenylate kinase	COG:COG0563, COG:F, EC:2.7.4.3, GO:0004017, GO:0005524, GO:0005737, GO:0006139, GO:0008270, GO:0016776, GO:0019205, GO:0044209, RefSeq:WP_001048995.1, SO:0001217, UniParc:UPI000188BDD0, UniRef:UniRef100_B7IT40, UniRef:UniRef50_Q81J22, UniRef:UniRef90_Q81J22
chromosome	cds	2769913	2770659	+	GBJ002_02875	map	type I methionyl aminopeptidase	COG:COG0024, COG:J, EC:3.4.11.18, GO:0006508, GO:0070006, KEGG:K01265, RefSeq:WP_000582539.1, SO:0001217, UniParc:UPI000016650A, UniRef:UniRef100_Q81J21, UniRef:UniRef50_A0A949ZB60, UniRef:UniRef90_B7HJ70
chromosome	cds	2770728	2770946	+	GBJ002_02876	infA	translation initiation factor IF-1	BlastRules:WP_001029884, COG:COG0361, COG:J, GO:0003743, GO:0005829, GO:0006413, GO:0019843, GO:0043022, RefSeq:WP_001029884.1, SO:0001217, UniParc:UPI000018DCB2, UniRef:UniRef100_Q814C3, UniRef:UniRef50_Q814C3, UniRef:UniRef90_Q814C3
